id_candidat,id_offre,score_global,score_bi_encoder,score_cross_encoder,score_sbert,score_tfidf,titre,entreprise,lieu,contrat,salaire
3,5246873,0.6373649517750076,0.5877801312523854,0.6586155891418457,0.0,0.0,Administrateur / Administratrice système et réseaux d'information et de communication (H/F),,", ",CDI,
4,5130741339,0.8475114731706138,0.4917049105687129,1.0,0.0,0.0,Technicien support de proximité,,", ",CDI,
4,5964004,0.7982066468682396,0.5017663294363378,0.9252524971961975,0.0,0.0,Chargé / Chargée d'études socio-économiques (H/F),,", ",CDI,
4,5643915,0.736854546795171,0.41990774714245255,0.872688889503479,0.0,0.0,Responsable des systèmes informatiques h/f,,", ",CDI,
4,5129728201,0.7075021385521252,0.5639736252925656,0.7690143585205078,0.0,0.0,Analyste d'exploitation F/H,,", ",,
4,5172708443,0.6565294463533712,0.45247261361895413,0.7439823746681213,0.0,0.0,Agent Commercial(e) immobilier expériménté(e),,", ",CDI,
4,5499398,0.6398783631090509,0.46296656362354327,0.715697705745697,0.0,0.0,Ingénieur / Ingénieure d'étude informatique (H/F),,", ",CDI,
4,5160978955,0.6352210037479451,0.4352684393755766,0.7209149599075317,0.0,0.0,Correspondant économique famille environnement de travail et collaborateur F/H,,", ",,
4,4771724,0.6347122727173182,0.44183832351949914,0.7173725366592407,0.0,0.0,Développeur .Net H/F,,", ",CDI,
4,5163550751,0.6071203751205291,0.49127739099624596,0.6567673683166504,0.0,0.0,Agent de production H/F,,", ",CDD,
4,6106210,0.6051898696010689,0.41968025034844214,0.6846939921379089,0.0,0.0,INGENIEUR RESEAU ET TELECOM (H/F),,", ",Freelance,
5,5171787703,0.8456417013508919,0.48547233783630633,1.0,0.0,0.0,Agent de Production Agroalimentaire H/F,,", ",,
5,4914422,0.789227450862778,0.4920330675948091,0.9165964722633362,0.0,0.0,Ingénieur Réseau / Sécurité Confirmé (H/F),,", ",CDI,
5,6081980,0.768209699331283,0.46559805849710917,0.897900402545929,0.0,0.0,Technicien / Technicienne d'exploitation informatique (H/F),,", ",CDD,
